Year,Town,Assessed_Value_Medians
2010,Andover,166500
2010,Ansonia,166300
2010,Ashford,162800
2010,Avon,312380
2010,Barkhamsted,161650
2010,Beacon Falls,173120
2010,Berlin,179000
2010,Bethany,222750
2010,Bethel,268160
2010,Bethlehem,229100
2010,Bloomfield,157780
2010,Bolton,169800
2010,Bozrah,171890
2010,Branford,221950
2010,Bridgeport,151090
2010,Bridgewater,364750
2010,Bristol,144060
2010,Brookfield,328950
2010,Brooklyn,131300
2010,Burlington,224525
2010,Canaan,194750
2010,Canterbury,136850
2010,Canton,222890
2010,Chaplin,137000
2010,Cheshire,210245
2010,Chester,251770
2010,Clinton,198300
2010,Colchester,166700
2010,Colebrook,168500
2010,Columbia,175500
2010,Cornwall,374120
2010,Coventry,158900
2010,Cromwell,195730
2010,Danbury,237200
2010,Darien,947870
2010,Deep River,206535
2010,Derby,162050
2010,Durham,229810
2010,East Granby,180450
2010,East Haddam,187115
2010,East Hampton,157975
2010,East Hartford,127960
2010,East Haven,157465
2010,East Lyme,227780
2010,East Windsor,140630
2010,Eastford,191440
2010,Easton,528600
2010,Ellington,177145
2010,Enfield,138810
2010,Essex,264200
2010,Fairfield,422415
2010,Farmington,236930
2010,Franklin,157050
2010,Glastonbury,250400
2010,Goshen,235710
2010,Granby,205380
2010,Greenwich,1340290
2010,Griswold,139335
2010,Groton,166600
2010,Guilford,304180
2010,Haddam,185690
2010,Hamden,164185
2010,Hampton,158480
2010,Hartford,48360
2010,Hartland,151105
2010,Harwinton,153170
2010,Hebron,210600
2010,Kent,331600
2010,Killingly,124670
2010,Killingworth,238950
2010,Lebanon,177220
2010,Ledyard,157500
2010,Lisbon,159025
2010,Litchfield,193220
2010,Lyme,286097
2010,Madison,355200
2010,Manchester,145100
2010,Mansfield,171570
2010,Marlborough,207305
2010,Meriden,133420
2010,Middlebury,216500
2010,Middlefield,182000
2010,Middletown,157050
2010,Milford,243750
2010,Monroe,286335
2010,Montville,147980
2010,Morris,250280
2010,Naugatuck,153160
2010,New Britain,118720
2010,New Canaan,1074290
2010,New Fairfield,212000
2010,New Hartford,175490
2010,New Haven,152110
2010,New London,130025
2010,New Milford,226170
2010,Newington,145250
2010,Newtown,353865
2010,Norfolk,292400
2010,North Branford,196770
2010,North Canaan,147770
2010,North Haven,191590
2010,North Stoningto,183410
2010,Norwalk,322000
2010,Norwich,130000
2010,Old Lyme,244300
2010,Old Saybrook,271000
2010,Orange,271100
2010,Oxford,239480
2010,Plainfield,127890
2010,Plainville,141855
2010,Plymouth,137270
2010,Pomfret,215625
2010,Portland,175140
2010,Preston,175200
2010,Prospect,191305
2010,Putnam,120000
2010,Redding,501600
2010,Ridgefield,529330
2010,Rocky Hill,203000
2010,Roxbury,710470
2010,Salem,203560
2010,Salisbury,395210
2010,Scotland,152420
2010,Seymour,174650
2010,Sharon,385200
2010,Shelton,245000
2010,Sherman,284200
2010,Simsbury,226200
2010,Somers,188600
2010,South Windsor,196510
2010,Southbury,295180
2010,Southington,179445
2010,Sprague,114900
2010,Stafford,125860
2010,Stamford,478170
2010,Sterling,163505
2010,Stonington,233600
2010,Stratford,169260
2010,Suffield,196630
2010,Thomaston,159590
2010,Thompson,120200
2010,Tolland,226700
2010,Torrington,118050
2010,Trumbull,294600
2010,Union,177440
2010,Vernon,136740
2010,Voluntown,144690
2010,Wallingford,172900
2010,Warren,281540
2010,Washington,505720
2010,Waterbury,114730
2010,Waterford,189930
2010,Watertown,163000
2010,West Hartford,211400
2010,West Haven,149800
2010,Westbrook,243570
2010,Weston,599200
2010,Westport,759050
2010,Wethersfield,169300
2010,Willington,150330
2010,Wilton,580720
2010,Winchester,126950
2010,Windham,104325
2010,Windsor,145180
2010,Windsor Locks,130000
2010,Wolcott,162880
2010,Woodbridge,326340
2010,Woodbury,276470
2010,Woodstock,184700
2011,Andover,163600
2011,Ansonia,166000
2011,Ashford,153900
2011,Avon,340220
2011,Barkhamsted,195495
2011,Beacon Falls,162960
2011,Berlin,189100
2011,Bethany,210110
2011,Bethel,276640
2011,Bethlehem,250100
2011,Bloomfield,144200
2011,Bolton,229855
2011,Bozrah,176495
2011,Branford,201850
2011,Bridgeport,154450
2011,Bridgewater,534960
2011,Bristol,142100
2011,Brookfield,309190
2011,Brooklyn,139400
2011,Burlington,250550
2011,Canaan,169000
2011,Canterbury,149700
2011,Canton,225420
2011,Chaplin,128800
2011,Cheshire,225050
2011,Chester,233530
2011,Clinton,170600
2011,Colchester,180490
2011,Colebrook,394700
2011,Columbia,185300
2011,Cornwall,455880
2011,Coventry,151100
2011,Cromwell,193450
2011,Danbury,245100
2011,Darien,985005
2011,Deep River,160230
2011,Derby,161875
2011,Durham,235400
2011,East Granby,192100
2011,East Haddam,204090
2011,East Hampton,165660
2011,East Hartford,130390
2011,East Haven,169240
2011,East Lyme,193620
2011,East Windsor,156560
2011,Eastford,172640
2011,Easton,510640
2011,Ellington,208105
2011,Enfield,135240
2011,Essex,306500
2011,Fairfield,338135
2011,Farmington,244960
2011,Franklin,171000
2011,Glastonbury,258500
2011,Goshen,274050
2011,Granby,215565
2011,Greenwich,1043350
2011,Griswold,138425
2011,Groton,158970
2011,Guilford,309830
2011,Haddam,222560
2011,Hamden,151340
2011,Hampton,174350
2011,Hartford,50879.5
2011,Hartland,162090
2011,Harwinton,137065
2011,Hebron,208670
2011,Kent,385200
2011,Killingly,124180
2011,Killingworth,291010
2011,Lebanon,162920
2011,Ledyard,148890
2011,Lisbon,193630
2011,Litchfield,194250
2011,Lyme,371350
2011,Madison,353200
2011,Manchester,142400
2011,Mansfield,150535
2011,Marlborough,209405
2011,Meriden,130050
2011,Middlebury,219300
2011,Middlefield,178950
2011,Middletown,159550
2011,Milford,249740
2011,Monroe,270985
2011,Montville,141140
2011,Morris,196370
2011,Naugatuck,155480
2011,New Britain,119840
2011,New Canaan,1022315
2011,New Fairfield,246200
2011,New Hartford,207935
2011,New Haven,143679.5
2011,New London,134750
2011,New Milford,183175
2011,Newington,148180
2011,Newtown,328785
2011,Norfolk,298200
2011,North Branford,198300
2011,North Canaan,154360
2011,North Haven,196350
2011,North Stoningto,191170
2011,Norwalk,316190
2011,Norwich,137000
2011,Old Lyme,260600
2011,Old Saybrook,326650
2011,Orange,280000
2011,Oxford,228750
2011,Plainfield,127400
2011,Plainville,134820
2011,Plymouth,141060
2011,Pomfret,167840
2011,Portland,147420
2011,Preston,158900
2011,Prospect,173010
2011,Putnam,110200
2011,Redding,474750
2011,Ridgefield,422000
2011,Rocky Hill,200540
2011,Roxbury,470560
2011,Salem,211500
2011,Salisbury,419350
2011,Scotland,170900
2011,Seymour,176330
2011,Sharon,275400
2011,Shelton,243110
2011,Sherman,310000
2011,Simsbury,234980
2011,Somers,197150
2011,South Windsor,185255
2011,Southbury,273315
2011,Southington,176610
2011,Sprague,72500
2011,Stafford,132510
2011,Stamford,451230
2011,Sterling,158800
2011,Stonington,228400
2011,Stratford,165200
2011,Suffield,199780
2011,Thomaston,145155
2011,Thompson,121300
2011,Tolland,193765
2011,Torrington,120445
2011,Trumbull,295800
2011,Union,137400
2011,Vernon,133050
2011,Voluntown,128975
2011,Wallingford,162950
2011,Warren,265690
2011,Washington,458345
2011,Waterbury,115410
2011,Waterford,185870
2011,Watertown,173700
2011,West Hartford,212850
2011,West Haven,128240
2011,Westbrook,219190
2011,Weston,573900
2011,Westport,587200
2011,Wethersfield,171300
2011,Willington,176600
2011,Wilton,652190
2011,Winchester,131215
2011,Windham,98600
2011,Windsor,144480
2011,Windsor Locks,124850
2011,Wolcott,172340
2011,Woodbridge,284795
2011,Woodbury,329740
2011,Woodstock,183100
2012,Andover,176400
2012,Ansonia,168650
2012,Ashford,122900
2012,Avon,331155
2012,Barkhamsted,174910
2012,Beacon Falls,158090
2012,Berlin,184100
2012,Bethany,242840
2012,Bethel,270625
2012,Bethlehem,226700
2012,Bloomfield,142800
2012,Bolton,187995
2012,Bozrah,135390
2012,Branford,200300
2012,Bridgeport,150260
2012,Bridgewater,505800
2012,Bristol,145250
2012,Brookfield,243880
2012,Brooklyn,134800
2012,Burlington,245385
2012,Canaan,253800
2012,Canterbury,160500
2012,Canton,218360
2012,Chaplin,132000
2012,Cheshire,219850
2012,Chester,206360
2012,Clinton,179210
2012,Colchester,166500
2012,Colebrook,189900
2012,Columbia,152000
2012,Cornwall,256200
2012,Coventry,155300
2012,Cromwell,199005
2012,Danbury,236200
2012,Darien,902020
2012,Deep River,193900
2012,Derby,148810
2012,Durham,212415
2012,East Granby,183800
2012,East Haddam,194650
2012,East Hampton,163070
2012,East Hartford,95880
2012,East Haven,133085
2012,East Lyme,200620
2012,East Windsor,149650
2012,Eastford,141080
2012,Easton,388710
2012,Ellington,170680
2012,Enfield,118450
2012,Essex,311700
2012,Fairfield,363790
2012,Farmington,244470
2012,Franklin,158640
2012,Glastonbury,236450
2012,Goshen,273990
2012,Granby,206115
2012,Greenwich,1049230
2012,Griswold,103880
2012,Groton,183470
2012,Guilford,298345
2012,Haddam,207125
2012,Hamden,149730
2012,Hampton,169495
2012,Hartford,40792
2012,Hartland,156240
2012,Harwinton,186180
2012,Hebron,171010
2012,Kent,288200
2012,Killingly,131950
2012,Killingworth,196490
2012,Lebanon,160480
2012,Ledyard,180460
2012,Lisbon,130900
2012,Litchfield,208500
2012,Lyme,351448
2012,Madison,355300
2012,Manchester,122100
2012,Mansfield,154245
