Year,Town,medprice
2010,Andover,220000
2010,Ansonia,180000
2010,Ashford,195300
2010,Avon,425000
2010,Barkhamsted,229000
2010,Beacon Falls,215487.5
2010,Berlin,244400
2010,Bethany,297450
2010,Bethel,294500
2010,Bethlehem,284250
2010,Bloomfield,212000
2010,Bolton,231950
2010,Bozrah,185000
2010,Branford,270000
2010,Bridgeport,127200
2010,Bridgewater,542000
2010,Bristol,175000
2010,Brookfield,375000
2010,Brooklyn,207500
2010,Burlington,343500
2010,Canaan,211000
2010,Canterbury,170000
2010,Canton,325000
2010,Chaplin,170000
2010,Cheshire,310725
2010,Chester,263000
2010,Clinton,251000
2010,Colchester,229850
2010,Colebrook,206000
2010,Columbia,238000
2010,Cornwall,450000
2010,Coventry,222000
2010,Cromwell,255000
2010,Danbury,240000
2010,Darien,1300000
2010,Deep River,256400
2010,Derby,180500
2010,Durham,317000
2010,East Granby,249850
2010,East Haddam,250000
2010,East Hampton,232500
2010,East Hartford,145550
2010,East Haven,178000
2010,East Lyme,284000
2010,East Windsor,171500
2010,Eastford,130000
2010,Easton,575250
2010,Ellington,278000
2010,Enfield,175000
2010,Essex,350000
2010,Fairfield,507000
2010,Farmington,350000
2010,Franklin,158500
2010,Glastonbury,350000
2010,Goshen,250000
2010,Granby,270000
2010,Greenwich,1542500
2010,Griswold,148250
2010,Groton,217500
2010,Guilford,377750
2010,Haddam,263000
2010,Hamden,214000
2010,Hampton,188000
2010,Hartford,126000
2010,Hartland,195000
2010,Harwinton,238000
2010,Hebron,265000
2010,Kent,386500
2010,Killingly,147000
2010,Killingworth,281000
2010,Lebanon,219450
2010,Ledyard,212250
2010,Lisbon,194900
2010,Litchfield,252000
2010,Lyme,499000
2010,Madison,405000
2010,Manchester,180000
2010,Mansfield,216900
2010,Marlborough,250000
2010,Meriden,157000
2010,Middlebury,280000
2010,Middlefield,256000
2010,Middletown,207000
2010,Milford,270000
2010,Monroe,385000
2010,Montville,179900
2010,Morris,257500
2010,Naugatuck,170000
2010,New Britain,129900
2010,New Canaan,1400000
2010,New Fairfield,315000
2010,New Hartford,234900
2010,New Haven,130000
2010,New London,129900
2010,New Milford,274500
2010,Newington,220000
2010,Newtown,412000
2010,Norfolk,170625
2010,North Branford,260000
2010,North Canaan,164000
2010,North Haven,250000
2010,North Stoningto,205700
2010,Norwalk,420750
2010,Norwich,127475
2010,Old Lyme,314750
2010,Old Saybrook,295750
2010,Orange,350000
2010,Oxford,327500
2010,Plainfield,140000
2010,Plainville,191000
2010,Plymouth,174000
2010,Pomfret,254000
2010,Portland,228300
2010,Preston,219000
2010,Prospect,252500
2010,Putnam,140000
2010,Redding,579000
2010,Ridgefield,695000
2010,Rocky Hill,266500
2010,Roxbury,858000
2010,Salem,250950
2010,Salisbury,574500
2010,Scotland,168000
2010,Seymour,237500
2010,Sharon,425000
2010,Shelton,299999
2010,Sherman,372500
2010,Simsbury,313950
2010,Somers,289000
2010,South Windsor,269900
2010,Southbury,366250
2010,Southington,255000
2010,Sprague,198750
2010,Stafford,164950
2010,Stamford,539999
2010,Sterling,150500
2010,Stonington,277250
2010,Stratford,226000
2010,Suffield,269900
2010,Thomaston,179925
2010,Thompson,182500
2010,Tolland,308764
2010,Torrington,145000
2010,Trumbull,360000
2010,Union,254750
2010,Vernon,185000
2010,Voluntown,164596
2010,Wallingford,240000
2010,Warren,447500
2010,Washington,660000
2010,Waterbury,90000
2010,Waterford,227000
2010,Watertown,197750
2010,West Hartford,295000
2010,West Haven,171400
2010,Westbrook,292500
2010,Weston,835000
2010,Westport,1052500
2010,Wethersfield,235000
2010,Willington,230458.5
2010,Wilton,782500
2010,Winchester,162000
2010,Windham,141250.5
2010,Windsor,213500
2010,Windsor Locks,185000
2010,Wolcott,185000
2010,Woodbridge,453900
2010,Woodbury,350000
2010,Woodstock,220000
2011,Andover,196500
2011,Ansonia,165451
2011,Ashford,145000
2011,Avon,442625
2011,Barkhamsted,235000
2011,Beacon Falls,140500.5
2011,Berlin,245000
2011,Bethany,295000
2011,Bethel,273000
2011,Bethlehem,250000
2011,Bloomfield,192000
2011,Bolton,265000
2011,Bozrah,218500
2011,Branford,265000
2011,Bridgeport,115000
2011,Bridgewater,647500
2011,Bristol,162200
2011,Brookfield,370000
2011,Brooklyn,180000
2011,Burlington,330000
2011,Canaan,232500
2011,Canterbury,173500
2011,Canton,311950
2011,Chaplin,151450
2011,Cheshire,330000
2011,Chester,231250
2011,Clinton,246666
2011,Colchester,224000
2011,Colebrook,450000
2011,Columbia,224375
2011,Cornwall,375000
2011,Coventry,215000
2011,Cromwell,268575
2011,Danbury,242250
2011,Darien,1425000
2011,Deep River,200000
2011,Derby,169500
2011,Durham,319500
2011,East Granby,233000
2011,East Haddam,240000
2011,East Hampton,210000
2011,East Hartford,136000
2011,East Haven,197000
2011,East Lyme,250000
2011,East Windsor,201500
2011,Eastford,145500
2011,Easton,592000
2011,Ellington,250000
2011,Enfield,163000
2011,Essex,367500
2011,Fairfield,442500
2011,Farmington,329000
2011,Franklin,167500
2011,Glastonbury,350000
2011,Goshen,320000
2011,Granby,285000
2011,Greenwich,1495000
2011,Griswold,149950
2011,Groton,199900
2011,Guilford,372000
2011,Haddam,325000
2011,Hamden,190000
2011,Hampton,156500
2011,Hartford,121000
2011,Hartland,222500
2011,Harwinton,215125
2011,Hebron,250000
2011,Kent,315000
2011,Killingly,130500
2011,Killingworth,260900
2011,Lebanon,199900
2011,Ledyard,207000
2011,Lisbon,178500
2011,Litchfield,224375
2011,Lyme,367500
2011,Madison,427000
2011,Manchester,172500
2011,Mansfield,172207
2011,Marlborough,257500
2011,Meriden,146750
2011,Middlebury,280000
2011,Middlefield,227450
2011,Middletown,197000
2011,Milford,250000
2011,Monroe,363000
2011,Montville,168000
2011,Morris,250000
2011,Naugatuck,158900
2011,New Britain,122250
2011,New Canaan,1375000
2011,New Fairfield,330000
2011,New Hartford,250000
2011,New Haven,133000
2011,New London,135000
2011,New Milford,255000
2011,Newington,199900
2011,Newtown,351250
2011,Norfolk,254000
2011,North Branford,242000
2011,North Canaan,155000
2011,North Haven,250000
2011,North Stoningto,198000
2011,Norwalk,380009
2011,Norwich,109750
2011,Old Lyme,335000
2011,Old Saybrook,368870
2011,Orange,336000
2011,Oxford,293000
2011,Plainfield,145000
2011,Plainville,170000
2011,Plymouth,166500
2011,Pomfret,152500
2011,Portland,190000
2011,Preston,185000
2011,Prospect,225000
2011,Putnam,130000
2011,Redding,550000
2011,Ridgefield,483750
2011,Rocky Hill,255000
2011,Roxbury,542500
2011,Salem,275625
2011,Salisbury,326500
2011,Scotland,185000
2011,Seymour,212500
2011,Sharon,247500
2011,Shelton,280000
2011,Sherman,362000
2011,Simsbury,320000
2011,Somers,277250
2011,South Windsor,252500
2011,Southbury,323750
2011,Southington,240000
2011,Sprague,120000
2011,Stafford,165000
2011,Stamford,480000
2011,Sterling,139450
2011,Stonington,248500
2011,Stratford,210000
2011,Suffield,276000
2011,Thomaston,182500
2011,Thompson,156000
2011,Tolland,253000
2011,Torrington,135500
2011,Trumbull,358000
2011,Union,156000
2011,Vernon,155000
2011,Voluntown,150500
2011,Wallingford,210000
2011,Warren,430556
2011,Washington,532500
2011,Waterbury,76950
2011,Waterford,190000
2011,Watertown,216500
2011,West Hartford,307500
2011,West Haven,152549.5
2011,Westbrook,230000
2011,Weston,769000
2011,Westport,977500
2011,Wethersfield,230000
2011,Willington,239000
2011,Wilton,822500
2011,Winchester,134000
2011,Windham,122603.5
2011,Windsor,185000
2011,Windsor Locks,156900
2011,Wolcott,210000
2011,Woodbridge,365500
2011,Woodbury,372750
2011,Woodstock,195000
2012,Andover,240000
2012,Ansonia,147000
2012,Ashford,137000
2012,Avon,440000
2012,Barkhamsted,204000
2012,Beacon Falls,203500
2012,Berlin,230000
2012,Bethany,309000
2012,Bethel,269000
2012,Bethlehem,285000
2012,Bloomfield,178000
2012,Bolton,217000
2012,Bozrah,186000
2012,Branford,257500
2012,Bridgeport,120000
2012,Bridgewater,512000
2012,Bristol,158500
2012,Brookfield,337450
2012,Brooklyn,187450
2012,Burlington,350000
2012,Canaan,205000
2012,Canterbury,180000
2012,Canton,278000
2012,Chaplin,149500
2012,Cheshire,307500
2012,Chester,248500
2012,Clinton,255000
2012,Colchester,225000
2012,Colebrook,215000
2012,Columbia,225000
2012,Cornwall,500000
2012,Coventry,199900
2012,Cromwell,263000
2012,Danbury,235000
2012,Darien,1212500
2012,Deep River,247000
2012,Derby,177250
2012,Durham,249500
2012,East Granby,240000
2012,East Haddam,235000
2012,East Hampton,210000
2012,East Hartford,120500
2012,East Haven,175000
2012,East Lyme,260000
2012,East Windsor,176000
2012,Eastford,142000
2012,Easton,551750
2012,Ellington,230000
2012,Enfield,159950
2012,Essex,361250
2012,Fairfield,520000
2012,Farmington,345000
2012,Franklin,185000
2012,Glastonbury,333000
2012,Goshen,277500
2012,Granby,272151
2012,Greenwich,1500000
2012,Griswold,133800
2012,Groton,235000
2012,Guilford,368000
2012,Haddam,260000
2012,Hamden,185000
2012,Hampton,188500
2012,Hartford,137000
2012,Hartland,210000
2012,Harwinton,217500
2012,Hebron,273750
2012,Kent,315000
2012,Killingly,144650
2012,Killingworth,246250
2012,Lebanon,187000
2012,Ledyard,230000
2012,Lisbon,169900
2012,Litchfield,245000
2012,Lyme,313000
2012,Madison,419500
2012,Manchester,169900
2012,Mansfield,184000
2012,Marlborough,205000
2012,Meriden,144950
2012,Middlebury,269500
2012,Middlefield,202500
2012,Middletown,190500
2012,Milford,255000
2012,Monroe,350000
2012,Montville,147500
2012,Morris,205000
2012,Naugatuck,145000
2012,New Britain,113000
2012,New Canaan,1302500
2012,New Fairfield,281250
2012,New Hartford,260000
2012,New Haven,135000
2012,New London,127500
2012,New Milford,254000
2012,Newington,207000
2012,Newtown,380000
2012,Norfolk,160000
2012,North Branford,240000
2012,North Canaan,153600
2012,North Haven,258500
2012,North Stoningto,202500
