town,CityType,Year,Population,BirthsRate,DeathsRate,Crime_num,Median_household_income,Mill_Rate,HOUSING_PRICE
Andover,Town,2010,3303,0.54,0.58,35,84274,27.6,220000
Andover,Town,2011,3298,0.76,0.64,26,91406,27.6,196500
Andover,Town,2012,3272,0.46,0.52,15,97762,27.6,240000
Andover,Town,2013,3273,0.55,0.4,14,88438,30.8,255000
Andover,Town,2014,3272,0.43,0.7,24,109220,30.77,207700
Andover,Town,2015,3262,0.67,0.74,10,100321,30.72,194450
Ansonia,Town,2010,19249,1.31,0.96,355,56541,25.25,180000
Ansonia,Town,2011,19219,0.98,0.92,405,55250,25.75,165451
Ansonia,Town,2012,19158,1.15,0.94,485,54720,26.25,147000
Ansonia,Town,2013,19020,1.06,1,427,45505,27.65,169902
Ansonia,Town,2014,18959,1.16,0.8,410,62191,39.34,160000
Ansonia,Town,2015,18854,1.11,1,380,43305,38.61,148000
Ashford,Town,2010,4318,1.04,0.67,34,69407,24.65,195300
Ashford,Town,2011,4307,0.86,0.65,23,71346,25.43,145000
Ashford,Town,2012,4284,1.03,0.65,19,75242,25.6,137000
Ashford,Town,2013,4281,1.07,0.63,26,75127,31.05,160000
Ashford,Town,2014,4259,0.94,0.77,30,93192,31.65,171450
Ashford,Town,2015,4251,1.01,0.75,18,77870,32.16,177000
Avon,Town,2010,18101,0.67,0.76,192,105116,23.41,425000
Avon,Town,2011,18113,0.61,0.82,181,107733,24.44,442625
Avon,Town,2012,18283,0.67,0.78,174,111768,25.04,440000
Avon,Town,2013,18386,0.64,0.78,148,115571,25.65,460000
Avon,Town,2014,18421,0.77,0.75,173,167001,26.32,347250
Avon,Town,2015,18414,0.77,0.89,150,123894,28.32,350000
Barkhamsted,Town,2010,3796,0.42,0.42,20,87656,22.03,229000
Barkhamsted,Town,2011,3776,0.48,0.72,25,83056,22.39,235000
Barkhamsted,Town,2012,3759,0.64,0.67,18,84861,22.67,204000
Barkhamsted,Town,2013,3745,0.48,0.59,22,89911,23.39,213015
Barkhamsted,Town,2014,3705,0.49,0.51,20,96424,24.26,236250
Barkhamsted,Town,2015,3685,0.81,0.62,18,95735,27.37,205000
Beacon Falls,Town,2010,6049,0.84,0.88,93,81214,24.23,215487.5
Beacon Falls,Town,2011,6038,0.61,0.66,80,80182,25.6,140500.5
Beacon Falls,Town,2012,6065,0.71,0.53,43,79207,26.1,203500
Beacon Falls,Town,2013,6052,0.79,0.5,55,85280,31.1,188000
Beacon Falls,Town,2014,6055,0.61,0.55,66,92703,31.9,245000
Beacon Falls,Town,2015,6081,0.67,0.72,52,83155,32.5,209250
Berlin,Town,2010,19868,0.71,0.92,360,86211,22.69,244400
Berlin,Town,2011,19881,0.7,1.05,395,87091,23.65,245000
Berlin,LargeTown,2012,20463,0.71,1.04,331,85735,24.5,230000
