Code,District Code,Municipality,2011 GL
1,0,Andover,30.8
2,0,Ansonia,27.65
3,0,Ashford,31.05
4,0,Avon,25.65
5,0,Barkhamsted,23.39
5,1,Barkhamsted - Fire District,1.4
6,0,Beacon Falls,31.1
7,0,Berlin,25.15
7,1,Berlin - Kensington Fire District,1
7,2,Berlin - Worthington Fire District,1.98
8,0,Bethany,28.54
9,0,Bethel,24.07
10,0,Bethlehem,20.5
11,0,Bloomfield,34.55
11,1,Bloomfield - Center Fire District,0.9
11,2,Bloomfield - Blue Hill Fire District,2.5
12,0,Bolton,29.8
13,0,Bozrah,22.5
14,0,Branford,24.95
15,0,Bridgeport,41.11
16,0,Bridgewater,17.5
17,0,Bristol,28.75
18,0,Brookfield,24.54
19,0,Brooklyn,23.19
20,0,Burlington,26.8
21,0,Canaan,20.5
22,0,Canterbury,21.2
23,0,Canton,26.42
24,0,Chaplin,30.15
25,0,Cheshire,27.23
26,0,Chester,22.45
27,0,Clinton,25.18
28,0,Colchester,28.8
29,0,Colebrook,26.82
30,0,Columbia,27.13
31,0,Cornwall,14.6
32,0,Coventry,27
33,0,Cromwell,27.06
33,1,Cromwell - Fire District,1.89
34,0,Danbury,22.45
35,0,Darien,12.68
36,0,Deep River,24.68
37,0,Derby,35.5
38,0,Durham,32.19
39,0,Eastford,21.5
40,0,East Granby,27.3
41,0,East Haddam,21.52
42,0,East Hampton,25.97
43,0,East Hartford,42.79
44,0,East Haven,30.95
45,0,East Lyme,22.78
46,0,Easton,29.1
47,0,East Windsor,24.7263
48,0,Ellington,27.9
49,0,Enfield,27.84
49,1,Enfield - Fire District #1,3.05
49,2,Enfield - Thompsonville Fire Dist. #2,6.6
49,3,Enfield - Hazardville Fire Dist.#3,2.1
49,4,Enfield - No. Thompsonville Fire Dist. #4,2.9
49,5,Enfield - Shaker Pines Fire Dist #5,2.2
50,0,Essex,18.47
51,0,Fairfield,23.37
52,0,Farmington,21.9
53,0,Franklin,21.04
54,0,Glastonbury,30.5
55,0,Goshen,15
56,0,Granby,30.69
57,0,Greenwich,10.389
57,1,Greenwich + Sewer,0.612
58,0,Griswold,24.8
59,0,Groton,20.22
59,1,Groton - Sewer District,0.25
59,2,Groton - City of Groton,4.595
59,3,Groton - Poquonock Bridge Fire Dist.,5.9
59,4,Groton - Mystic Fire Dist.,2.05
59,5,Groton - Noank Fire Dist.,1.19
59,6,Groton - Old Mystic Fire Dist.,2.4
59,13,Groton - Long Point Assoc.,2.835
59,8,Groton - Center Fire Dist.,3.5
59,9,Groton - West Pleasant Valley Fire Dist.,2.82
59,10,Groton - Mumford Cove,0.305
60,0,Guilford,22.36
61,0,Haddam,28.99
62,0,Hamden,37.137
63,0,Hampton,24.8
64,0,Hartford,74.29
65,0,Hartland,24
66,0,Harwinton,24.6
67,0,Hebron,33.55
68,0,Kent,14.27
69,0,Killingly,19.7
69,1,Killingly - Attawaugan Fire District,2.4
69,2,Killingly - Dayville Fire District,1.5
