Code,Service District Code,Municipality,2013 Rate
1,0,Andover,30.72
2,0,Ansonia,38.61
3,0,Ashford,32.16
4,0,Avon,28.32
5,0,Barkhamsted,27.37
5,1,Barkhamsted Fire District,1.63
6,0,Beacon Falls,32.5
7,0,Berlin,28.92
7,1,Berlin - Kensington FD,1.1
7,2,Berlin -Worthington FD,2
8,0,Bethany,33.9
9,0,Bethel,32.11
10,0,Bethlehem,22.47
11,0,Bloomfield,34.84
11,1,"Bloomfield, Center FD",0.9
11,2,"Bloomfield, Blue Hills FD",2.5
12,0,Bolton,35.34
13,0,Bozrah,26.75
14,0,Branford,26.24
15,0,Bridgeport,42.198
16,0,Bridgewater,17.25
17,0,Bristol,34.61
18,0,Brookfield,25.7
19,0,Brooklyn,23.43
20,0,Burlington,29.85
21,0,Canaan,22.75
22,0,Canterbury,21.5
23,0,Canton,28.56
24,0,Chaplin,35.05
25,0,Cheshire,30.25
26,0,Chester,24.82
27,0,Clinton,26.27
28,0,Colchester,30.57
29,0,Colebrook,27.8
30,0,Columbia,27.13
31,0,Cornwall,14.9
32,0,Coventry,28.47
33,0,Cromwell,31.18
33,1,Cromwell Fire District,2.1
34,0,Danbury,27.6
35,0,Darien,15.01
36,0,Deep River,25.88
37,0,Derby,35.74
38,0,Durham,33.22
39,0,Eastford,24.8
40,0,East Granby,29.8
41,0,East Haddam,27.9
42,0,East Hampton,27.14
43,0,East Hartford,45.4
44,0,East Haven,32.05
45,0,East Lyme,24.03
46,0,Easton,29.9
47,0,East Windsor,29.78
48,0,Ellington,28.7
49,0,Enfield,29.13
49,1,Enfield Fire District #1,3.25
49,2,Enfield Thompsonville FD #2,7.25
49,3,"Enfield, Hazardville Fire Dist.#3",2.4
49,4,"Enfield, No. Thompsonville Fire Dist. #4",3.15
49,5,Enfield Shaker Pines Fire Dist #5,2.3
50,0,Essex,20.99
51,0,Fairfield,24.4
52,0,Farmington,24.44
53,0,Franklin,24.72
54,0,Glastonbury,35.65
55,0,Goshen,19.2
55,0,Goshen - Woodridge Lake Sewer District,4.3
56,0,Granby,35.52
57,0,Greenwich,10.969
57,1,Greenwich - Sewer District,0.655
58,0,Griswold,26.08
59,0,Groton,20.13
59,1,Groton Sewer District,0.25
59,2,"Groton, City of Groton",4.822
59,3,"Groton, Poquonock Bridge Fire",5.9
59,4,"Groton, Mystic Fire",2.31
59,5,"Groton, Noank Fire",1.39
59,6,"Groton, Old Mystic Fire",2.8
