Town,Year,CityType,Population,BirthsRate,DeathsRate
 Andover           ,2010,Town,3303,0.54,0.58
 Ansonia           ,2010,Town,19249,1.31,0.96
 Ashford           ,2010,Town,4318,1.04,0.67
 Avon              ,2010,Town,18101,0.67,0.76
 Barkhamsted       ,2010,Town,3796,0.42,0.42
 Beacon Falls      ,2010,Town,6049,0.84,0.88
 Berlin            ,2010,Town,19868,0.71,0.92
 Bethany           ,2010,Town,5562,0.56,0.56
 Bethel            ,2010,Town,18615,0.91,0.64
 Bethlehem         ,2010,Town,3604,0.55,0.8
 Bloomfield        ,2010,LargeTown,20489,0.99,1.25
 Bolton            ,2010,Town,4981,0.58,0.72
 Bozrah            ,2010,Town,2626,0.72,0.8
 Branford          ,2010,LargeTown,28024,0.81,1.05
 Bridgeport        ,2010,City,144463,1.51,0.67
 Bridgewater       ,2010,Town,1725,0.52,1.1
 Bristol           ,2010,LargeTown,60484,1.1,0.88
 Brookfield        ,2010,Town,16478,0.81,0.59
 Brooklyn          ,2010,Town,8211,0.9,1.13
 Burlington        ,2010,Town,9302,0.63,0.45
 Canaan            ,2010,Town,1234,0.97,0.81
 Canterbury        ,2010,Town,5133,0.64,0.74
 Canton            ,2010,Town,10294,0.8,0.73
 Chaplin           ,2010,Town,2305,1.21,0.65
 Cheshire          ,2010,LargeTown,29260,0.63,0.67
 Chester           ,2010,Town,3992,0.65,1.4
 Clinton           ,2010,Town,13256,0.76,0.81
 Colchester        ,2010,Town,16066,0.94,0.73
 Colebrook         ,2010,Town,1484,0.81,0.81
 Columbia          ,2010,Town,5488,0.75,0.73
 Cornwall          ,2010,Town,1419,0.92,0.63
 Coventry          ,2010,Town,12438,0.92,0.6
 Cromwell          ,2010,Town,14001,1.08,1.01
 Danbury           ,2010,LargeTown,81023,1.41,0.61
 Darien            ,2010,LargeTown,20767,1.06,0.5
 Deep River        ,2010,Town,4629,0.8,0.78
 Derby             ,2010,Town,12901,0.91,1.06
 Durham            ,2010,Town,7386,0.7,0.62
 Eastford          ,2010,Town,1750,0.57,0.34
 East Granby       ,2010,Town,5148,1.09,0.64
 East Haddam       ,2010,Town,9123,0.89,0.64
 East Hampton      ,2010,Town,12954,1.09,0.64
 East Hartford     ,2010,LargeTown,51259,1.36,0.93
