City,CityType,Year,Population,BirthsRate,DeathsRate,town,Median_household_income,CRIMENU
Andover,Town,2010,3303,0.54,0.58,1,84274,35
Andover,Town,2011,3298,0.76,0.64,1,91406,26
Andover,Town,2012,3272,0.46,0.52,1,97762,15
Andover,Town,2013,3273,0.55,0.4,1,88438,14
Andover,Town,2014,3272,0.43,0.7,1,109220,24
Andover,Town,2015,3262,0.67,0.74,1,100321,10
Ansonia,Town,2010,19249,1.31,0.96,2,56541,355
Ansonia,Town,2011,19219,0.98,0.92,2,55250,405
Ansonia,Town,2012,19158,1.15,0.94,2,54720,485
Ansonia,Town,2013,19020,1.06,1,2,45505,427
Ansonia,Town,2014,18959,1.16,0.8,2,62191,410
Ansonia,Town,2015,18854,1.11,1,2,43305,380
Ashford,Town,2010,4318,1.04,0.67,3,69407,34
Ashford,Town,2011,4307,0.86,0.65,3,71346,23
Ashford,Town,2012,4284,1.03,0.65,3,75242,19
Ashford,Town,2013,4281,1.07,0.63,3,75127,26
Ashford,Town,2014,4259,0.94,0.77,3,93192,30
Ashford,Town,2015,4251,1.01,0.75,3,77870,18
Avon,Town,2010,18101,0.67,0.76,4,105116,192
Avon,Town,2011,18113,0.61,0.82,4,107733,181
Avon,Town,2012,18283,0.67,0.78,4,111768,174
Avon,Town,2013,18386,0.64,0.78,4,115571,148
Avon,Town,2014,18421,0.77,0.75,4,167001,173
Avon,Town,2015,18414,0.77,0.89,4,123894,150
Barkhamsted,Town,2010,3796,0.42,0.42,5,87656,20
Barkhamsted,Town,2011,3776,0.48,0.72,5,83056,25
Barkhamsted,Town,2012,3759,0.64,0.67,5,84861,18
Barkhamsted,Town,2013,3745,0.48,0.59,5,89911,22
Barkhamsted,Town,2014,3705,0.49,0.51,5,96424,20
Barkhamsted,Town,2015,3685,0.81,0.62,5,95735,18
Beacon Falls,Town,2010,6049,0.84,0.88,6,81214,93
Beacon Falls,Town,2011,6038,0.61,0.66,6,80182,80
Beacon Falls,Town,2012,6065,0.71,0.53,6,79207,43
Beacon Falls,Town,2013,6052,0.79,0.5,6,85280,55
Beacon Falls,Town,2014,6055,0.61,0.55,6,92703,66
Beacon Falls,Town,2015,6081,0.67,0.72,6,83155,52
Berlin,Town,2010,19868,0.71,0.92,7,86211,360
Berlin,Town,2011,19881,0.7,1.05,7,87091,395
Berlin,LargeTown,2012,20463,0.71,1.04,7,85735,331
Berlin,LargeTown,2013,20590,0.74,0.96,7,87432,292
Berlin,LargeTown,2014,20610,0.67,1.01,7,102654,317
Berlin,LargeTown,2015,20560,0.62,0.99,7,87810,342
Bethany,Town,2010,5562,0.56,0.56,8,113720,42
Bethany,Town,2011,5554,0.67,0.58,8,106579,38
Bethany,Town,2012,5550,0.61,0.52,8,109564,48
Bethany,Town,2013,5540,0.78,0.65,8,100083,41
Bethany,Town,2014,5531,0.58,0.63,8,120961,30
Bethany,Town,2015,5510,0.76,0.56,8,97254,35
Bethel,Town,2010,18615,0.91,0.64,9,83483,202
Bethel,Town,2011,18771,0.89,0.6,9,87475,311
Bethel,Town,2012,19161,0.79,0.7,9,88024,332
Bethel,Town,2013,19264,0.74,0.62,9,85589,186
Bethel,Town,2014,19372,0.9,0.73,9,110523,169
Bethel,Town,2015,19529,0.93,0.8,9,92125,174
Bethlehem,Town,2010,3604,0.55,0.8,10,82899,20
Bethlehem,Town,2011,3586,0.61,0.56,10,86891,29
Bethlehem,Town,2012,3566,0.45,1.12,10,80884,20
Bethlehem,Town,2013,3553,0.76,0.84,10,83871,20
Bethlehem,Town,2014,3501,0.71,0.54,10,109332,17
Bethlehem,Town,2015,3473,0.66,0.49,10,84306,10
Bloomfield,LargeTown,2010,20489,0.99,1.25,11,68372,595
Bloomfield,LargeTown,2011,20502,0.81,1.34,11,72065,573
Bloomfield,LargeTown,2012,20602,0.87,1.23,11,71579,538
Bloomfield,LargeTown,2013,20673,0.7,1.28,11,73104,509
Bloomfield,LargeTown,2014,20819,0.94,1.29,11,95819,553
Bloomfield,LargeTown,2015,20749,0.75,1.19,11,72762,572
Bolton,Town,2010,4981,0.58,0.72,12,89432,37
Bolton,Town,2011,4974,0.7,0.7,12,93348,41
Bolton,Town,2012,4960,0.89,0.63,12,87885,33
Bolton,Town,2013,4948,0.79,0.73,12,86890,33
Bolton,Town,2014,4952,0.75,0.55,12,111812,19
Bolton,Town,2015,4947,0.75,0.44,12,97019,29
Bozrah,Town,2010,2626,0.72,0.8,13,75000,32
Bozrah,Town,2011,2622,0.72,1.11,13,81122,26
Bozrah,Town,2012,2638,0.68,0.68,13,83188,19
Bozrah,Town,2013,2639,0.87,0.68,13,78580,22
Bozrah,Town,2014,2622,0.88,1.11,13,87039,17
Bozrah,Town,2015,2603,0.81,1.19,13,77045,14
Branford,LargeTown,2010,28024,0.81,1.05,14,70640,848
Branford,LargeTown,2011,27980,0.74,1.08,14,71314,778
Branford,LargeTown,2012,28024,0.85,1.13,14,70075,699
Branford,LargeTown,2013,27988,0.89,1.15,14,70785,651
Branford,LargeTown,2014,28225,0.67,1.11,14,96954,688
Branford,LargeTown,2015,28145,0.78,1.18,14,71938,708
Bridgeport,City,2010,144463,1.51,0.67,15,41047,6095
Bridgeport,City,2011,145638,1.55,0.65,15,40947,7054
Bridgeport,City,2012,146425,1.45,0.67,15,39822,6913
Bridgeport,City,2013,147216,1.41,0.64,15,41050,5861
Bridgeport,City,2014,147612,1.44,0.69,15,55697,5623
Bridgeport,City,2015,147629,1.39,0.66,15,41801,4492
Bridgewater,Town,2010,1725,0.52,1.1,16,86607,15
Bridgewater,Town,2011,1716,0.23,1.22,16,85481,15
Bridgewater,Town,2012,1702,0.47,1.12,16,83750,12
Bridgewater,Town,2013,1696,0.18,0.59,16,87875,6
Bridgewater,Town,2014,1675,0.66,0.84,16,143748,8
Bridgewater,Town,2015,1659,0.18,1.02,16,98424,5
Bristol,LargeTown,2010,60484,1.1,0.88,17,58537,1535
Bristol,LargeTown,2011,60525,1.09,0.97,17,60032,1626
Bristol,LargeTown,2012,60603,1.08,0.94,17,58814,1687
Bristol,LargeTown,2013,60568,1.03,1,17,57610,1478
Bristol,LargeTown,2014,60570,1.1,1.01,17,73391,1582
Bristol,LargeTown,2015,60452,1.07,0.98,17,61478,1307
Brookfield,Town,2010,16478,0.81,0.59,18,109008,149
Brookfield,Town,2011,16617,0.77,0.64,18,108576,213
Brookfield,Town,2012,16783,0.66,0.69,18,111096,194
Brookfield,Town,2013,16860,0.65,0.68,18,107537,171
Brookfield,Town,2014,17055,0.66,0.8,18,134297,166
Brookfield,Town,2015,17143,0.8,0.57,18,112684,148
Brooklyn,Town,2010,8211,0.9,1.13,19,68851,88
Brooklyn,Town,2011,8192,0.98,0.95,19,66023,70
Brooklyn,Town,2012,8203,0.8,0.9,19,62857,84
Brooklyn,Town,2013,8280,0.77,0.86,19,59262,82
Brooklyn,Town,2014,8254,0.88,0.96,19,73429,154
Brooklyn,Town,2015,8259,0.62,0.96,19,60694,104
Burlington,Town,2010,9302,0.63,0.45,20,115341,61
Burlington,Town,2011,9309,0.75,0.49,20,114792,44
Burlington,Town,2012,9434,0.93,0.48,20,106756,64
Burlington,Town,2013,9494,0.65,0.46,20,105422,43
Burlington,Town,2014,9576,0.79,0.41,20,123187,37
Burlington,Town,2015,9623,0.71,0.55,20,113472,22
Canaan,Town,2010,1234,0.97,0.81,21,54219,13
Canaan,Town,2011,1227,0.73,0.98,21,56161,5
Canaan,Town,2012,1218,0.74,1.31,21,58021,10
Canaan,Town,2013,1214,0.33,1.4,21,65000,18
Canaan,Town,2014,1195,0.75,1.26,21,82618,8
Canaan,Town,2015,1185,0.42,1.18,21,72321,3
Canterbury,Town,2010,5133,0.64,0.74,22,70902,40
Canterbury,Town,2011,5119,0.86,0.68,22,73000,47
Canterbury,Town,2012,5106,0.92,0.63,22,66641,48
Canterbury,Town,2013,5096,0.86,0.73,22,73038,38
Canterbury,Town,2014,5088,0.96,0.83,22,85766,21
Canterbury,Town,2015,5089,0.67,0.77,22,83862,20
Canton,Town,2010,10294,0.8,0.73,23,87643,122
Canton,Town,2011,10300,0.77,0.72,23,82619,112
Canton,Town,2012,10351,0.75,0.91,23,86136,89
Canton,Town,2013,10357,0.72,0.79,23,87891,75
Canton,Town,2014,10345,0.67,0.73,23,122904,77
Canton,Town,2015,10330,0.51,0.63,23,87326,50
Chaplin,Town,2010,2305,1.21,0.65,24,62679,24
Chaplin,Town,2011,2298,0.83,0.44,24,67981,24
Chaplin,Town,2012,2286,0.52,0.61,24,75333,23
Chaplin,Town,2013,2276,0.79,0.7,24,75368,14
Chaplin,Town,2014,2262,0.75,1.06,24,92201,20
Chaplin,Town,2015,2255,0.31,1.02,24,67054,15
Cheshire,LargeTown,2010,29260,0.63,0.67,25,107936,336
Cheshire,LargeTown,2011,29216,0.59,0.66,25,109535,304
Cheshire,LargeTown,2012,29300,0.56,0.82,25,110587,276
Cheshire,LargeTown,2013,29150,0.63,0.73,25,111638,210
Cheshire,LargeTown,2014,29250,0.65,0.78,25,125801,251
