Town,Median household income 
Andover,84274
Ansonia,56541
Ashford,69407
Avon,105116
Barkhamsted,87656
Beacon Falls,81214
Berlin,86211
Bethany,113720
Bethel,83483
Bethlehem,82899
Bloomfield,68372
Bolton,89432
Bozrah,75000
Branford,70640
Bridgeport,41047
Bridgewater,86607
Bristol,58537
Brookfield,109008
Brooklyn,68851
Burlington,115341
Canaan,54219
Canterbury,70902
Canton,87643
Chaplin,62679
Cheshire,107936
Chester,80185
Clinton,74174
Colchester,92431
Colebrook,72000
Columbia,85893
Cornwall,80179
Coventry,86244
Cromwell,82012
Danbury,65275
Darien,175766
Deep River,65250
Derby,52029
Durham,105417
Eastford,77596
East Granby,82695
East Haddam,88281
East Hampton,48613
East Hartford,59918
East Haven,79815
East Lyme,64301
Easton,76786
East Windsor,140370
Ellington,81582
Enfield,67402
Essex,87480
Fairfield,113248
Farmington,85417
Franklin,74226
Glastonbury,102482
Goshen,76705
Granby,97500
Greenwich,124958
Griswold,59295
Groton,56904
Guilford,98411
Haddam,86179
Hamden,66695
Hampton,79943
Hartford,28970
Hartland,85956
Harwinton,85253
Hebron,108444
Kent,68481
Killingly,53192
Killingworth,99500
Lebanon,72431
Ledyard,85321
Lisbon,77872
Litchfield,78750
Lyme,88500
Madison,108175
Manchester,61571
Mansfield,65839
Marlborough,108232
Meriden,53873
Middlebury,100866
Middlefield,80392
Middletown,57655
Milford,76973
Monroe,109727
Montville,65349
Morris,81583
Naugatuck,59393
New Britain,39706
New Canaan,179338
New Fairfield,101067
New Hartford,80718
New Haven,38963
Newington,43551
New London,84824
New Milford,69085
Newtown,108148
Norfolk,85526
North Branford,80618
North Canaan,46417
North Haven,83588
North Stonington,88869
Norwalk,76161
Norwich,52186
Old Lyme,92024
Old Saybrook,79985
Orange,102255
Oxford,107500
Plainfield,61500
Plainville,63447
Plymouth,71630
Pomfret,68278
Portland,86661
Preston,77377
Prospect,86526
Putnam,51180
Redding,130557
Ridgefield,132907
Rocky Hill,72417
Roxbury,97768
Salem,95000
Salisbury,63587
Scotland,75417
Seymour,71719
Sharon,70104
Shelton,80656
Sherman,115417
Simsbury,113224
Somers,98977
Southbury,88350
Southington,68041
South Windsor,77673
Sprague,68241
Stafford,64494
Stamford,75579
Sterling,64500
Stonington,72445
Stratford,67530
Suffield,90023
Thomaston,63990
Thompson,60951
Tolland,99764
Torrington,48409
Trumbull,102059
Union,79911
Vernon,61103
Voluntown,73980
Wallingford,71317
Warren,87857
Washington,67417
Waterbury,40254
Waterford,69810
Watertown,77771
Westbrook,78530
West Hartford,51854
West Haven,61069
Weston,209630
Westport,150771
Wethersfield,71284
Willington,62500
Wilton,153770
Winchester,57958
Windham,40063
Windsor,78695
Windsor Locks,59369
Wolcott,78882
Woodbridge,127237
Woodbury,80595
Woodstock,74000
