Town,Median household income
Andover,91406
Ansonia,55250
Ashford,71346
Avon,107733
Barkhamsted,83056
Beacon Falls,80182
Berlin,87091
Bethany,106579
Bethel,87475
Bethlehem,86891
Bloomfield,72065
Bolton,93348
Bozrah,81122
Branford,71314
Bridgeport,40947
Bridgewater,85481
Bristol,60032
Brookfield,108576
Brooklyn,66023
Burlington,114792
Canaan,56161
Canterbury,73000
Canton,82619
Chaplin,67981
Cheshire,109535
Chester,80192
Clinton,75122
Colchester,95034
Colebrook,71125
Columbia,91715
Cornwall,75000
Coventry,90502
Cromwell,80426
Danbury,65656
Darien,193896
Deep River,76319
Derby,55478
Durham,106000
Eastford,73188
East Granby,87074
East Haddam,91770
East Hampton,49611
East Hartford,63136
East Haven,80293
East Lyme,66699
Easton,80147
East Windsor,141372
Ellington,84758
Enfield,67809
Essex,84095
Fairfield,118476
Farmington,86675
Franklin,78342
Glastonbury,104967
Goshen,83125
Granby,99190
Greenwich,127201
Griswold,66303
Groton,59887
Guilford,95085
Haddam,87883
Hamden,67955
Hampton,81307
Hartford,29107
Hartland,90278
Harwinton,85920
Hebron,107807
Kent,71736
Killingly,54446
Killingworth,105764
Lebanon,80601
Ledyard,87344
Lisbon,74190
Litchfield,82155
Lyme,91522
Madison,106609
Manchester,62436
Mansfield,70208
Marlborough,112665
Meriden,53722
Middlebury,99679
Middlefield,81638
Middletown,59966
Milford,79828
Monroe,108478
Montville,67734
Morris,87974
Naugatuck,63414
New Britain,39838
New Canaan,191750
New Fairfield,102159
New Hartford,84297
New Haven,39094
Newington,45509
New London,84818
New Milford,71817
Newtown,114695
Norfolk,82250
North Branford,78720
North Canaan,45139
North Haven,81789
North Stonington,81905
Norwalk,76384
Norwich,51225
Old Lyme,93682
Old Saybrook,80347
Orange,104335
Oxford,111122
Plainfield,61058
Plainville,61489
Plymouth,74317
Pomfret,77422
Portland,93438
Preston,78250
Prospect,93631
Putnam,51171
Redding,113697
Ridgefield,145000
Rocky Hill,75582
Roxbury,98833
Salem,97424
Salisbury,70250
Scotland,77143
Seymour,75482
Sharon,73661
Shelton,83128
Sherman,120458
Simsbury,116554
Somers,100573
Southbury,92513
Southington,72177
South Windsor,77112
Sprague,63155
Stafford,65570
Stamford,78201
Sterling,75000
Stonington,75972
Stratford,67761
Suffield,89802
Thomaston,64982
Thompson,61517
Tolland,102370
Torrington,48742
Trumbull,106058
Union,84028
Vernon,62115
Voluntown,76208
Wallingford,72540
Warren,97794
Washington,70068
Waterbury,41499
Waterford,72036
Watertown,81203
Westbrook,80061
West Hartford,53057
West Haven,60422
Weston,205563
Westport,155792
Wethersfield,72041
Willington,67736
Wilton,159720
Winchester,57050
Windham,42178
Windsor,79927
Windsor Locks,62212
Wolcott,80529
Woodbridge,129583
Woodbury,86802
Woodstock,81320
