Town,Median household income (dollars)
Andover,97762
Ansonia,54720
Ashford,75242
Avon,111768
Barkhamsted,84861
Beacon Falls,79207
Berlin,85735
Bethany,109564
Bethel,88024
Bethlehem,80884
Bloomfield,71579
Bolton,87885
Bozrah,83188
Branford,70075
Bridgeport,39822
Bridgewater,83750
Bristol,58814
Brookfield,111096
Brooklyn,62857
Burlington,106756
Canaan,58021
Canterbury,66641
Canton,86136
Chaplin,75333
Cheshire,110587
Chester,79345
Clinton,68225
Colchester,92522
Colebrook,71691
Columbia,92973
Cornwall,78021
Coventry,92308
Cromwell,80134
Danbury,66281
Darien,200724
Deep River,77625
Derby,54561
Durham,109969
Eastford,73074
East Granby,91146
East Haddam,93083
East Hampton,48438
East Hartford,63574
East Haven,81599
East Lyme,71310
Easton,82885
East Windsor,142434
Ellington,84934
Enfield,68356
Essex,90242
Fairfield,119924
Farmington,88467
Franklin,88333
Glastonbury,106872
Goshen,74333
Granby,97851
Greenwich,129588
Griswold,64574
Groton,61966
Guilford,95745
Haddam,89184
Hamden,68462
Hampton,75278
Hartford,28931
Hartland,91875
Harwinton,89429
Hebron,114286
Kent,66641
Killingly,55598
Killingworth,106964
Lebanon,81120
Ledyard,88057
Lisbon,80539
Litchfield,84063
Lyme,86250
Madison,107062
Manchester,63656
Mansfield,67615
Marlborough,110718
Meriden,53831
Middlebury,97996
Middlefield,87463
Middletown,60542
Milford,79531
Monroe,112605
Montville,67262
Morris,89688
Naugatuck,62574
New Britain,39898
New Canaan,167037
New Fairfield,98209
New Hartford,85598
New Haven,38482
Newington,44106
New London,84110
New Milford,75237
Newtown,116024
Norfolk,78214
North Branford,82460
North Canaan,45992
North Haven,83089
North Stonington,81434
Norwalk,75446
Norwich,51304
Old Lyme,92175
Old Saybrook,78227
Orange,106372
Oxford,107308
Plainfield,62775
Plainville,61766
Plymouth,73603
Pomfret,82661
Portland,92344
Preston,76296
Prospect,95325
Putnam,46440
Redding,120223
Ridgefield,148104
Rocky Hill,76128
Roxbury,97031
Salem,100375
Salisbury,65625
Scotland,77634
Seymour,73099
Sharon,76117
Shelton,83755
Sherman,118750
Simsbury,117577
Somers,100100
Southbury,91519
Southington,67195
South Windsor,78668
Sprague,67415
Stafford,63672
Stamford,76797
Sterling,67794
Stonington,80666
Stratford,67375
Suffield,92019
Thomaston,67426
Thompson,63385
Tolland,103358
Torrington,50548
Trumbull,108667
Union,83500
Vernon,61848
Voluntown,74032
Wallingford,75467
Warren,96250
Washington,75865
Waterbury,40867
Waterford,75270
Watertown,80899
Westbrook,81588
West Hartford,51911
West Haven,63885
Weston,213423
Westport,152586
Wethersfield,76196
Willington,70013
Wilton,161906
Winchester,60994
Windham,41007
Windsor,77377
Windsor Locks,62640
Wolcott,80655
Woodbridge,137216
Woodbury,80167
Woodstock,81705
