Town,Median Household Income
Andover,88438
Ansonia,45505
Ashford,75127
Avon,115571
Barkhamsted,89911
Beacon Falls,85280
Berlin,87432
Bethany,100083
Bethel,85589
Bethlehem,83871
Bloomfield,73104
Bolton,86890
Bozrah,78580
Branford,70785
Bridgeport,41050
Bridgewater,87875
Bristol,57610
Brookfield,107537
Brooklyn,59262
Burlington,105422
Canaan,65000
Canterbury,73038
Canton,87891
Chaplin,75368
Cheshire,111638
Chester,74911
Clinton,71599
Colchester,96774
Colebrook,79667
Columbia,90725
Cornwall,67500
Coventry,93816
Cromwell,75859
Danbury,64969
Darien,205688
Deep River,71500
Derby,53098
Durham,124179
Eastford,71250
East Granby,89615
East Haddam,94747
East Hampton,50400
East Hartford,63673
East Haven,78257
East Lyme,72785
Easton,83015
East Windsor,150000
Ellington,84699
Enfield,67191
Essex,86298
Fairfield,117705
Farmington,88935
Franklin,89643
Glastonbury,106678
Goshen,79850
Granby,97894
Greenwich,132164
Griswold,59387
Groton,60684
Guilford,96151
Haddam,93824
Hamden,68794
Hampton,74559
Hartford,29430
Hartland,88362
Harwinton,89102
Hebron,111792
Kent,64038
Killingly,57205
Killingworth,112761
Lebanon,83651
Ledyard,87518
Lisbon,80129
Litchfield,86801
Lyme,85263
Madison,110761
Manchester,63274
Mansfield,66143
Marlborough,110694
Meriden,52590
Middlebury,96181
Middlefield,96765
Middletown,59994
Milford,80460
Monroe,103589
Montville,68298
Morris,83958
Naugatuck,59056
New Britain,40294
New Canaan,161848
New Fairfield,103100
New Hartford,86354
New Haven,37428
Newington,43307
New London,80792
New Milford,77368
Newtown,109159
Norfolk,71538
North Branford,84783
North Canaan,49746
North Haven,86250
North Stonington,82900
Norwalk,74728
Norwich,48597
Old Lyme,87416
Old Saybrook,75549
Orange,106942
Oxford,102167
Plainfield,62708
Plainville,60630
Plymouth,70273
Pomfret,84918
Portland,88693
Preston,74141
Prospect,98151
Putnam,46627
Redding,119112
Ridgefield,147993
Rocky Hill,77560
Roxbury,90250
Salem,100625
Salisbury,68094
Scotland,78250
Seymour,75426
Sharon,74083
Shelton,86138
Sherman,112344
Simsbury,115000
Somers,98846
Southbury,90499
Southington,73341
South Windsor,80029
Sprague,66622
Stafford,61959
Stamford,76779
Sterling,68833
Stonington,81026
Stratford,66361
Suffield,92737
Thomaston,76692
Thompson,64974
Tolland,103869
Torrington,51951
Trumbull,108854
Union,83850
Vernon,61038
Voluntown,75938
Wallingford,75346
Warren,100972
Washington,80160
Waterbury,40639
Waterford,73156
Watertown,80067
Westbrook,82322
West Hartford,52353
West Haven,62832
Weston,207262
Westport,160106
Wethersfield,77740
Willington,72011
Wilton,167094
Winchester,58458
Windham,41639
Windsor,79528
Windsor Locks,66583
Wolcott,83993
Woodbridge,138082
Woodbury,81597
Woodstock,77366
