Town,Mean household income
Andover,109220
Ansonia,62191
Ashford,93192
Avon,167001
Barkhamsted,96424
Beacon Falls,92703
Berlin,102654
Bethany,120961
Bethel,110523
Bethlehem,109332
Bloomfield,95819
Bolton,111812
Bozrah,87039
Branford,96954
Bridgeport,55697
Bridgewater,143748
Bristol,73391
Brookfield,134297
Brooklyn,73429
Burlington,123187
Canaan,82618
Canterbury,85766
Canton,122904
Chaplin,92201
Cheshire,125801
Chester,92400
Clinton,92400
Colchester,106553
Colebrook,91840
Columbia,106607
Cornwall,108897
Coventry,103876
Cromwell,97660
Danbury,84697
Darien,307100
Deep River,90052
Derby,66135
Durham,140761
Eastford,87572
East Granby,102752
East Haddam,111380
East Hampton,62419
East Hartford,76505
East Haven,103335
East Lyme,81514
Easton,96232
East Windsor,171108
Ellington,101266
Enfield,78786
Essex,117320
Fairfield,173929
Farmington,133156
Franklin,104890
Glastonbury,145318
Goshen,87828
Granby,142672
Greenwich,262067
Griswold,78550
Groton,80077
Guilford,132149
Haddam,114451
Hamden,87591
Hampton,94056
Hartford,42759
Hartland,102563
Harwinton,120214
Hebron,119638
Kent,95315
Killingly,66753
Killingworth,128462
Lebanon,100065
Ledyard,102930
Lisbon,94059
Litchfield,108144
Lyme,116545
Madison,143342
Manchester,77191
Mansfield,84113
Marlborough,115765
Meriden,66365
Middlebury,113127
Middlefield,108560
Middletown,81172
Milford,99259
Monroe,143010
Montville,79960
Morris,95470
Naugatuck,77141
New Britain,52689
New Canaan,300285
New Fairfield,123933
New Hartford,96074
New Haven,57862
Newington,54529
New London,99314
New Milford,87593
Newtown,139282
Norfolk,101838
North Branford,105592
North Canaan,67267
North Haven,104286
North Stonington,91390
Norwalk,104797
Norwich,65335
Old Lyme,116484
Old Saybrook,105355
Orange,138942
Oxford,117567
Plainfield,69431
Plainville,70796
Plymouth,78037
Pomfret,115309
Portland,102054
Preston,80884
Prospect,109505
Putnam,58240
Redding,157283
Ridgefield,212297
Rocky Hill,102829
Roxbury,144745
Salem,118023
Salisbury,136004
Scotland,85110
Seymour,88492
Sharon,117157
Shelton,106649
Sherman,159155
Simsbury,146756
Somers,109664
Southbury,117942
Southington,105257
South Windsor,97633
Sprague,72752
Stafford,73805
Stamford,120782
Sterling,81959
Stonington,103315
Stratford,85900
Suffield,122711
Thomaston,83023
Thompson,78655
Tolland,124946
Torrington,66585
Trumbull,132033
Union,101318
Vernon,76981
Voluntown,80966
Wallingford,93590
Warren,128371
Washington,125437
Waterbury,53533
Waterford,95327
Watertown,95588
Westbrook,121828
West Hartford,65781
West Haven,111086
Weston,286088
Westport,255021
Wethersfield,93145
Willington,87036
Wilton,242379
Winchester,71642
Windham,53134
Windsor,94631
Windsor Locks,81930
Wolcott,96690
Woodbridge,175780
Woodbury,108852
Woodstock,87110
