Town,Year,Variable,Value
Andover,SFY 2000-2001,Actual Mill Rate,28.6
Ansonia,SFY 2000-2001,Actual Mill Rate,31.4
Ashford,SFY 2000-2001,Actual Mill Rate,31
Avon,SFY 2000-2001,Actual Mill Rate,24.5
Barkhamsted,SFY 2000-2001,Actual Mill Rate,28
Beacon Falls,SFY 2000-2001,Actual Mill Rate,24.5
Berlin,SFY 2000-2001,Actual Mill Rate,30.3
Bethany,SFY 2000-2001,Actual Mill Rate,29.23
Bethel,SFY 2000-2001,Actual Mill Rate,28.06
Bethlehem,SFY 2000-2001,Actual Mill Rate,23.79
Bloomfield,SFY 2000-2001,Actual Mill Rate,26.69
Bolton,SFY 2000-2001,Actual Mill Rate,31.35
Bozrah,SFY 2000-2001,Actual Mill Rate,23
Branford,SFY 2000-2001,Actual Mill Rate,26.19
Bridgeport,SFY 2000-2001,Actual Mill Rate,65
Bridgewater,SFY 2000-2001,Actual Mill Rate,23
Bristol,SFY 2000-2001,Actual Mill Rate,29.55
Brookfield,SFY 2000-2001,Actual Mill Rate,26.9
Brooklyn,SFY 2000-2001,Actual Mill Rate,21.97
Burlington,SFY 2000-2001,Actual Mill Rate,27.75
Canaan,SFY 2000-2001,Actual Mill Rate,31.25
Canterbury,SFY 2000-2001,Actual Mill Rate,24.16
Canton,SFY 2000-2001,Actual Mill Rate,30.25
Chaplin,SFY 2000-2001,Actual Mill Rate,29.33
Cheshire,SFY 2000-2001,Actual Mill Rate,30
Chester,SFY 2000-2001,Actual Mill Rate,24.5
Clinton,SFY 2000-2001,Actual Mill Rate,29.35
Colchester,SFY 2000-2001,Actual Mill Rate,27.53
Colebrook,SFY 2000-2001,Actual Mill Rate,26.3
Columbia,SFY 2000-2001,Actual Mill Rate,27
Cornwall,SFY 2000-2001,Actual Mill Rate,19
Coventry,SFY 2000-2001,Actual Mill Rate,26.59
Cromwell,SFY 2000-2001,Actual Mill Rate,28.14
Danbury,SFY 2000-2001,Actual Mill Rate,23.19
Darien,SFY 2000-2001,Actual Mill Rate,13.06
Deep River,SFY 2000-2001,Actual Mill Rate,25.4
Derby,SFY 2000-2001,Actual Mill Rate,33.2
Durham,SFY 2000-2001,Actual Mill Rate,29.8
Eastford,SFY 2000-2001,Actual Mill Rate,32.5
East Granby,SFY 2000-2001,Actual Mill Rate,26.6
East Haddam,SFY 2000-2001,Actual Mill Rate,29.23
East Hampton,SFY 2000-2001,Actual Mill Rate,25.46
East Hartford,SFY 2000-2001,Actual Mill Rate,37.62
East Haven,SFY 2000-2001,Actual Mill Rate,36.95
East Lyme,SFY 2000-2001,Actual Mill Rate,28.8
Easton,SFY 2000-2001,Actual Mill Rate,26.7
East Windsor,SFY 2000-2001,Actual Mill Rate,27.38
Ellington,SFY 2000-2001,Actual Mill Rate,27.8
Enfield,SFY 2000-2001,Actual Mill Rate,30.87
Essex,SFY 2000-2001,Actual Mill Rate,16.75
Fairfield,SFY 2000-2001,Actual Mill Rate,27.6
Farmington,SFY 2000-2001,Actual Mill Rate,23.6
Franklin,SFY 2000-2001,Actual Mill Rate,25.8
Glastonbury,SFY 2000-2001,Actual Mill Rate,32.9
