Town,Year,Crime Type,Measure_Type,Value
Andover,2010,Total Crime,Number,35
Andover,2010,Total Crime,"Rate (per 100,000)",1098.6
Andover,2010,Total Violent Crime,Number,1
Andover,2010,Total Violent Crime,"Rate (per 100,000)",31.4
Andover,2010,Total Property Crime,Number,34
Andover,2010,Total Property Crime,"Rate (per 100,000)",1067.2
Andover,2010,Aggravated Assault,Number,0
Andover,2010,Aggravated Assault,"Rate (per 100,000)",0
Andover,2010,Murder,Number,0
Andover,2010,Murder,"Rate (per 100,000)",0
Andover,2010,Rape,Number,0
Andover,2010,Rape,"Rate (per 100,000)",0
Andover,2010,Robbery,Number,1
Andover,2010,Robbery,"Rate (per 100,000)",31.4
Andover,2010,Burglary,Number,16
Andover,2010,Burglary,"Rate (per 100,000)",502.2
Andover,2010,Larceny,Number,17
Andover,2010,Larceny,"Rate (per 100,000)",533.6
Andover,2010,Motor Vehicle Theft,Number,1
Andover,2010,Motor Vehicle Theft,"Rate (per 100,000)",31.4
Andover,2010,Arson,Number,1
Andover,2010,Arson,"Rate (per 100,000)",31.4
Andover,2011,Total Crime,Number,26
Andover,2011,Total Crime,"Rate (per 100,000)",814.5
Andover,2011,Total Violent Crime,Number,1
Andover,2011,Total Violent Crime,"Rate (per 100,000)",31.3
Andover,2011,Total Property Crime,Number,25
Andover,2011,Total Property Crime,"Rate (per 100,000)",783.2
Andover,2011,Aggravated Assault,Number,0
Andover,2011,Aggravated Assault,"Rate (per 100,000)",0
Andover,2011,Murder,Number,0
Andover,2011,Murder,"Rate (per 100,000)",0
Andover,2011,Rape,Number,0
Andover,2011,Rape,"Rate (per 100,000)",0
Andover,2011,Robbery,Number,1
Andover,2011,Robbery,"Rate (per 100,000)",31.3
Andover,2011,Burglary,Number,18
Andover,2011,Burglary,"Rate (per 100,000)",563.9
Andover,2011,Larceny,Number,6
Andover,2011,Larceny,"Rate (per 100,000)",188
Andover,2011,Motor Vehicle Theft,Number,1
Andover,2011,Motor Vehicle Theft,"Rate (per 100,000)",31.3
Andover,2011,Arson,Number,0
Andover,2011,Arson,"Rate (per 100,000)",0
Andover,2012,Total Crime,Number,15
Andover,2012,Total Crime,"Rate (per 100,000)",468.6
Andover,2012,Total Violent Crime,Number,4
Andover,2012,Total Violent Crime,"Rate (per 100,000)",125
Andover,2012,Total Property Crime,Number,11
Andover,2012,Total Property Crime,"Rate (per 100,000)",343.6
Andover,2012,Aggravated Assault,Number,0
Andover,2012,Aggravated Assault,"Rate (per 100,000)",0
Andover,2012,Murder,Number,0
Andover,2012,Murder,"Rate (per 100,000)",0
Andover,2012,Rape,Number,2
Andover,2012,Rape,"Rate (per 100,000)",62.5
Andover,2012,Robbery,Number,2
Andover,2012,Robbery,"Rate (per 100,000)",62.5
Andover,2012,Burglary,Number,4
Andover,2012,Burglary,"Rate (per 100,000)",125
Andover,2012,Larceny,Number,6
Andover,2012,Larceny,"Rate (per 100,000)",187.4
Andover,2012,Motor Vehicle Theft,Number,1
Andover,2012,Motor Vehicle Theft,"Rate (per 100,000)",31.2
Andover,2012,Arson,Number,0
Andover,2012,Arson,"Rate (per 100,000)",0
Andover,2013,Total Crime,Number,14
Andover,2013,Total Crime,"Rate (per 100,000)",436.8
Andover,2013,Total Violent Crime,Number,2
Andover,2013,Total Violent Crime,"Rate (per 100,000)",62.4
Andover,2013,Total Property Crime,Number,12
Andover,2013,Total Property Crime,"Rate (per 100,000)",374.4
Andover,2013,Aggravated Assault,Number,1
Andover,2013,Aggravated Assault,"Rate (per 100,000)",31.2
Andover,2013,Murder,Number,0
Andover,2013,Murder,"Rate (per 100,000)",0
Andover,2013,Rape,Number,1
Andover,2013,Rape,"Rate (per 100,000)",31.2
Andover,2013,Robbery,Number,0
Andover,2013,Robbery,"Rate (per 100,000)",0
Andover,2013,Burglary,Number,7
Andover,2013,Burglary,"Rate (per 100,000)",218.4
Andover,2013,Larceny,Number,4
Andover,2013,Larceny,"Rate (per 100,000)",124.8
Andover,2013,Motor Vehicle Theft,Number,1
Andover,2013,Motor Vehicle Theft,"Rate (per 100,000)",31.2
Andover,2013,Arson,Number,1
Andover,2013,Arson,"Rate (per 100,000)",31.2
Andover,2014,Total Crime,Number,24
Andover,2014,Total Crime,"Rate (per 100,000)",749.3
Andover,2014,Total Violent Crime,Number,0
Andover,2014,Total Violent Crime,"Rate (per 100,000)",0
Andover,2014,Total Property Crime,Number,24
Andover,2014,Total Property Crime,"Rate (per 100,000)",749.3
Andover,2014,Aggravated Assault,Number,0
Andover,2014,Aggravated Assault,"Rate (per 100,000)",0
Andover,2014,Murder,Number,0
Andover,2014,Murder,"Rate (per 100,000)",0
Andover,2014,Rape,Number,0
Andover,2014,Rape,"Rate (per 100,000)",0
Andover,2014,Robbery,Number,0
Andover,2014,Robbery,"Rate (per 100,000)",0
Andover,2014,Burglary,Number,16
Andover,2014,Burglary,"Rate (per 100,000)",499.5
Andover,2014,Larceny,Number,7
Andover,2014,Larceny,"Rate (per 100,000)",218.5
Andover,2014,Motor Vehicle Theft,Number,1
Andover,2014,Motor Vehicle Theft,"Rate (per 100,000)",31.2
Andover,2014,Arson,Number,0
Andover,2014,Arson,"Rate (per 100,000)",0
Andover,2015,Total Crime,Number,10
Andover,2015,Total Crime,"Rate (per 100,000)",312.5
Andover,2015,Total Violent Crime,Number,1
Andover,2015,Total Violent Crime,"Rate (per 100,000)",31.2
Andover,2015,Total Property Crime,Number,9
Andover,2015,Total Property Crime,"Rate (per 100,000)",281.2
Andover,2015,Aggravated Assault,Number,0
Andover,2015,Aggravated Assault,"Rate (per 100,000)",0
Andover,2015,Murder,Number,1
Andover,2015,Murder,"Rate (per 100,000)",31.2
Andover,2015,Rape,Number,0
Andover,2015,Rape,"Rate (per 100,000)",0
Andover,2015,Robbery,Number,0
Andover,2015,Robbery,"Rate (per 100,000)",0
Andover,2015,Burglary,Number,3
Andover,2015,Burglary,"Rate (per 100,000)",93.8
